FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Co-operators Life Insurance Company,,Rob  Wesseling,President & Chief Executive Officer,1900,ALBERT STREET,REGINA,Saskatchewan,S4P 4K8,Life; Accident and sickness; Credit protection. The class of Credit Protection is limited to the insurance against the involuntary loss of employment by a person.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,CompCorp Life Insurance Company,,Paul  Petrelli,President & CEO,3110-250 YONGE ST,"PO BOX 23, EATON CENTRE TOWERS",TORONTO,Ontario,M5B 2L7,"Life; Accident and sickness; Credit protection. CompCorp Life Insurance Company may carry on (i) business which generally appertains to acquiring, reinsuring, servicing, transferring or otherwise dealing with policies of insurance companies that are members of the Canadian Life and Health Insurance Compensation Corporation against which a winding-up order under the Winding-up and Restructuring Act has been made; and (ii) with the prior written approval of the Superintendent of Financial Institutions, business which generally appertains to acquiring, reinsuring, servicing, transferring or otherwise dealing with policies of insurance companies that are members of the Canadian Life and Health Insurance Compensation Corporation other than companies described in paragraph (i).   The class of credit protection insurance is limited to the insurance against the involuntary loss of employment by a person, the limit of which insurance is all or part of the debt of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Empire Life Insurance Company (The),,Mark Andrew Sylvia,President and Chief Exective Officer,259 King Street East,,Kingston,Ontario,K7L 3A8,"Life; Accident and sickness; Credit protection. Class of credit protection insurance limited to the involuntary loss of employment of a person, the limit of which insurance is all or part of the debt of the person."
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Equitable Life Insurance Company of Canada (The),,Fabien  Jeudy,Chief Executive Officer,ONE WESTMOUNT RD N,PO BOX 1603 STN WATERLOO,WATERLOO,Ontario,N2J  4C7,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Foresters Life Insurance Company,,Matthew M Berman,President and Chief Executive Officer,789 DON MILLS ROAD,,TORONTO,Ontario,M3C 1T9,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Green Shield Canada Insurance,,Zahid  Salman,Chief Executive Officer,8677 ANCHOR DRIVE,PO BOX 1606 STN A,WINDSOR,Ontario,N9A 6W1,
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,MD Life Insurance Company,,Daniel  Schafer,Chief Executive Officer,1870 ALTA VISTA DR,,OTTAWA,Ontario,K1G 6R7,"Life. life
accident and sickness"
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Manufacturers Life Insurance Company (The),,Philip James Witherington,Chief Executive Officer,200 Bloor Street East,,Toronto,Ontario,M4W 1E5,Life; Accident and sickness.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Manulife Assurance Company of Canada,,Naveed  Irshad,Chief Executive Officer,200 BLOOR ST E,,TORONTO,Ontario,M4W 1E5,Life.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,Manulife Financial Corporation,,Philip James Witherington,Chief Executive Officer,200 Bloor Street East,,Toronto,Ontario,M4W 1E5,Life.
Federally Regulated Financial Institutions,Life Insurance Companies,Canadian Life Insurance Companies,PartnerRe Life Reinsurance Company of Canada,,Mayur  Shah,President and CEO,95 WELLINGTON STREET WEST,12TH FLOOR,TORONTO,Ontario,M5J 2N7,"Life; Accident and sickness. The company may insure risks, limited to the reinsurance of risks, falling within the classes of life insurance and accident and sickness insurance."
