name,url,abbreviation,source
The College of Osteopaths,https://www.collegeofosteopaths.ac.uk,,uk:edu
The Markfield Institute of Higher Education,https://www.mihe.org.uk,,uk:edu
Matrix College of Counselling and Psychotherapy Ltd,https://www.matrix.ac.uk,,uk:edu
Moorlands College,https://www.moorlands.ac.uk,,uk:edu
The Sherwood Institute,https://www.spti.net,,uk:edu
Trinity College Bristol,https://www.trinity-bris.ac.uk,,uk:edu
Mont Rose College of Management and Sciences Limited,https://www.mrcollege.ac.uk,,uk:edu
Results Consortium Limited,https://www.resultsco.org.uk,,uk:edu
Central Film School London,https://www.centralfilmschool.com,,uk:edu
Luminate Education Group,https://www.leedscitycollege.ac.uk,,uk:edu
University Centre Quayside (UCQ),https://www.ucq.ac.uk,,uk:edu
Christ the Redeemer College,https://www.christredeemer.ac.uk,,uk:edu
The Islamic College,https://www.islamic-college.ac.uk,,uk:edu
Nelson College London Limited,https://www.nelsoncollege.ac.uk,,uk:edu
London Churchill College,https://www.londonchurchillcollege.ac.uk,,uk:edu
St Mellitus College,https://www.stmellitus.ac.uk,,uk:edu
LMA,https://www.lma.ac.uk,,uk:edu
BPP University,https://www.bppuniversity.ac.uk,,uk:edu
Amity Global Education Ltd,https://www.amitylondon.org.uk,,uk:edu
The Cambridge theological Federation,https://www.theofed.cam.ac.uk,,uk:edu
The Queen's Foundation for Ecumenical theological Education,https://www.queens.ac.uk,,uk:edu
West Dean College,https://www.westdean.org.uk,,uk:edu
Emmanuel Theological College,https://www.emmanueltheologicalcollege.org.uk,,uk:edu
London School of Academics Ltd,https://www.londonschoolofacademics.com,,uk:edu
Court Theatre Training Company Ltd,http://www.courttheatre.org.uk,,uk:edu
Leeds Conservatoire,https://www.lcm.ac.uk,,uk:edu
Cardiff and Vale College,https://www.cavc.ac.uk,,uk:edu
Plymouth Marjon University,https://www.marjon.ac.uk,,uk:edu
BIMM University,https://www.bimm.ac.uk,,uk:edu
City and Guilds of London Art School,https://www.cityandguildsartschool.ac.uk,,uk:edu
The University of Law,https://www.law.ac.uk,,uk:edu
Harper Adams University,https://www.harper-adams.ac.uk,,uk:edu
